PATTERN: 0xff00
PING 202.141.80.14 (202.141.80.14) 56(84) bytes of data.
64 bytes from 202.141.80.14: icmp_seq=298 ttl=63 time=0.269 ms
64 bytes from 202.141.80.14: icmp_seq=299 ttl=63 time=0.245 ms
64 bytes from 202.141.80.14: icmp_seq=300 ttl=63 time=0.239 ms
64 bytes from 202.141.80.14: icmp_seq=301 ttl=63 time=0.357 ms
64 bytes from 202.141.80.14: icmp_seq=302 ttl=63 time=0.196 ms
64 bytes from 202.141.80.14: icmp_seq=303 ttl=63 time=0.242 ms
64 bytes from 202.141.80.14: icmp_seq=304 ttl=63 time=0.242 ms
64 bytes from 202.141.80.14: icmp_seq=305 ttl=63 time=0.202 ms
64 bytes from 202.141.80.14: icmp_seq=306 ttl=63 time=0.238 ms
64 bytes from 202.141.80.14: icmp_seq=307 ttl=63 time=0.250 ms
64 bytes from 202.141.80.14: icmp_seq=308 ttl=63 time=0.280 ms
64 bytes from 202.141.80.14: icmp_seq=309 ttl=63 time=0.195 ms
64 bytes from 202.141.80.14: icmp_seq=310 ttl=63 time=0.218 ms
64 bytes from 202.141.80.14: icmp_seq=311 ttl=63 time=0.240 ms
64 bytes from 202.141.80.14: icmp_seq=312 ttl=63 time=0.242 ms
64 bytes from 202.141.80.14: icmp_seq=313 ttl=63 time=0.236 ms
64 bytes from 202.141.80.14: icmp_seq=314 ttl=63 time=0.229 ms
64 bytes from 202.141.80.14: icmp_seq=315 ttl=63 time=0.242 ms
64 bytes from 202.141.80.14: icmp_seq=316 ttl=63 time=0.251 ms
64 bytes from 202.141.80.14: icmp_seq=317 ttl=63 time=0.245 ms
64 bytes from 202.141.80.14: icmp_seq=318 ttl=63 time=0.245 ms
64 bytes from 202.141.80.14: icmp_seq=319 ttl=63 time=0.207 ms
64 bytes from 202.141.80.14: icmp_seq=320 ttl=63 time=0.241 ms
64 bytes from 202.141.80.14: icmp_seq=321 ttl=63 time=0.235 ms
64 bytes from 202.141.80.14: icmp_seq=322 ttl=63 time=0.262 ms
64 bytes from 202.141.80.14: icmp_seq=323 ttl=63 time=0.263 ms
64 bytes from 202.141.80.14: icmp_seq=324 ttl=63 time=0.256 ms
64 bytes from 202.141.80.14: icmp_seq=325 ttl=63 time=0.291 ms
64 bytes from 202.141.80.14: icmp_seq=326 ttl=63 time=0.271 ms
64 bytes from 202.141.80.14: icmp_seq=327 ttl=63 time=0.268 ms
64 bytes from 202.141.80.14: icmp_seq=328 ttl=63 time=0.240 ms
64 bytes from 202.141.80.14: icmp_seq=329 ttl=63 time=0.218 ms
64 bytes from 202.141.80.14: icmp_seq=330 ttl=63 time=0.225 ms
64 bytes from 202.141.80.14: icmp_seq=331 ttl=63 time=0.242 ms
64 bytes from 202.141.80.14: icmp_seq=332 ttl=63 time=0.237 ms
64 bytes from 202.141.80.14: icmp_seq=333 ttl=63 time=0.244 ms
64 bytes from 202.141.80.14: icmp_seq=334 ttl=63 time=0.242 ms
64 bytes from 202.141.80.14: icmp_seq=335 ttl=63 time=0.255 ms
64 bytes from 202.141.80.14: icmp_seq=336 ttl=63 time=0.276 ms
64 bytes from 202.141.80.14: icmp_seq=337 ttl=63 time=0.225 ms
64 bytes from 202.141.80.14: icmp_seq=338 ttl=63 time=0.241 ms
64 bytes from 202.141.80.14: icmp_seq=339 ttl=63 time=0.266 ms
64 bytes from 202.141.80.14: icmp_seq=340 ttl=63 time=0.217 ms
64 bytes from 202.141.80.14: icmp_seq=341 ttl=63 time=0.204 ms
64 bytes from 202.141.80.14: icmp_seq=342 ttl=63 time=0.264 ms
64 bytes from 202.141.80.14: icmp_seq=343 ttl=63 time=0.241 ms
64 bytes from 202.141.80.14: icmp_seq=344 ttl=63 time=0.226 ms
64 bytes from 202.141.80.14: icmp_seq=345 ttl=63 time=0.242 ms
64 bytes from 202.141.80.14: icmp_seq=346 ttl=63 time=0.226 ms
64 bytes from 202.141.80.14: icmp_seq=347 ttl=63 time=0.265 ms
64 bytes from 202.141.80.14: icmp_seq=348 ttl=63 time=0.232 ms
64 bytes from 202.141.80.14: icmp_seq=349 ttl=63 time=0.245 ms
64 bytes from 202.141.80.14: icmp_seq=350 ttl=63 time=0.202 ms
64 bytes from 202.141.80.14: icmp_seq=351 ttl=63 time=0.247 ms
64 bytes from 202.141.80.14: icmp_seq=352 ttl=63 time=0.228 ms
64 bytes from 202.141.80.14: icmp_seq=353 ttl=63 time=0.243 ms
